,Corriente(A),Cp_modificado_optico,Cp_modificado_pwm,Cp_optico,Cp_pwm,Ct_optico,Ct_pwm,Eficiencia_PWM,Eficiencia_optica,Error_Potencia_PWM,Error_Potencia_optica,Error_RPM_optico,Error_RPM_pwm,Error_Thrust,Error_Torque,Error_Velocidad_inducida,Merito_PWM,Merito_optica,Potencia eléctrica (W),Potencia_PWM (W),Potencia_optica (W),RPM_optico,RPM_pwm,Thrust (N),Torque(Nm),Velocidad_inducida (m/s),omega_optico(rad/s),omega_pwm(rad/s)
0,0.03,,2.522537538460885,,0.005043973745048875,,0.031743400509546923,12.308471439974458,,0.4165505603658829,,,68.77598266110053,0.043128219575639226,0.0021564223407448684,0.0,0.792852423207264,,0.44999999999999996,5.538812147988505,,,1216.747,1.51983296548161,0.04346980919828736,0.12666666666666668,,127.41744788258067
1,1.19,,2.593091681718307,,0.004743008821385767,,0.029912591211804437,0.33350183256371524,,0.48767870453590434,,,78.01814227472991,0.07466136325347239,0.0024270799586129693,0.008620067027323833,0.7712800955324125,,17.849999999999998,5.953007711262316,,,1272.1740000000004,1.5656291910151818,0.044684953638962965,0.12916666666666665,,133.22174974959808
2,1.57,2.751899396397402,2.9162326974709587,0.0039378763820545745,0.0035065725958876815,0.025397034724957624,0.022615373704768064,0.3405136260055844,0.32132526416101953,0.08196032907052715,0.7785591480070735,150.14236350460857,3.251509034279321,0.008516284136840665,0.0004930333095562163,0.09399763590407766,0.6858163279406537,0.7267707542718542,23.55,8.019095892431512,7.5672099709920095,1466.2575,1553.8170000000005,1.7658155998020966,0.04928297542407073,0.26666666666666666,153.54612634236452,162.71533574076443
3,1.87,3.011262641130106,3.224871303294197,0.002866194000795687,0.0024990680350006175,0.019352390850057334,0.01687357567589306,0.44191442134917325,0.41264294368152515,0.10053516653972919,0.9224978699900335,149.0971794617105,8.04683167464065,0.007825587030567292,0.0004152028640498901,0.14812007141355138,0.6201797876265652,0.6641732184640704,28.05,12.39569951884431,11.574634570266781,1878.10375,2011.330000000001,2.2075758256778917,0.058851710604601926,0.32733333333333337,196.6745647893147,210.6259850648254
4,2.35,3.28707568531474,3.5345805771319676,0.0023669388408445523,0.0020470604652133933,0.01606749662377536,0.013896065477443539,0.526273719253766,0.48942201447360634,0.31550518181526455,1.0942023416270439,141.84943645794823,26.336508804319518,0.03889636441423856,0.0009517855183174418,0.1750758565752444,0.5658379986976677,0.6084435502763602,35.25,18.55114860369525,17.252126010194623,2286.67375,2458.8520000000003,2.717055271927674,0.07204598732197978,0.38133333333333336,239.4599151385541,257.4903793154857
5,3.27,3.3798131814272128,3.72058039945663,0.002120913455996307,0.001750197062617458,0.014659421437869335,0.012097087822085548,0.5604810598397011,0.5091467111591437,0.1239129286430917,1.275139945182953,136.5996195490218,6.7167286680347695,0.00939399446946417,0.00034589262258424413,0.04407065034943574,0.5375505392363215,0.5917486833267656,49.05,27.491595985137337,24.973646182355996,2683.11125,2953.6339999999977,3.412998002569034,0.08888217147798098,0.6233333333333333,280.9747530588042,309.3038291931009
6,4.15,3.1663779755836465,3.6946798783871713,0.00215175839103415,0.0015803940522391734,0.015459086542863569,0.011354178297708555,0.6533343101768061,0.559914103123873,0.08328355461412151,0.5324152733273727,45.29563994953045,3.9179830270178497,0.013844321475167771,0.00019083443443242506,0.022842455598682438,0.541318887111014,0.6316365308950039,62.25000000000001,40.670060808506186,34.8546529194611,2984.06375,3481.9470000000038,4.4518637644199,0.11153830681837003,0.716,312.4904251614536,364.6286371796344
7,5.68,3.462710978722147,3.8456928433967454,0.0018532575939352628,0.001502515939954959,0.013183873439638047,0.01068873536966979,0.6465505017120691,0.5821623337445838,0.4375844081679988,1.8863934712096595,132.65245695401762,21.673200040603138,0.07483821062574027,0.0007654253552939835,0.03204163957519444,0.520062335044283,0.5775821350062733,85.19999999999999,55.086102745868274,49.60023083503854,3527.78125,3917.96,5.306255574986559,0.13426209886276988,0.8799999999999999,369.4283886157272,410.2878117686222
8,7.5,3.430452796815187,3.984938630986732,0.0019296593153887232,0.0014300139063827,0.013628543897479766,0.010099714048859013,0.67972867664925,0.5851475658257557,0.2749866742897411,0.30432863025361817,17.029202858619072,14.98915337835996,0.06768607599736613,0.00020468887633000904,0.04906231864793093,0.5018897868208249,0.5830134149803168,112.5,76.46947612304062,65.82910115539751,3825.0,4443.259000000001,6.448432819011656,0.1643455191871045,0.9886666666666667,400.5530633326986,465.2969944132244
9,8.38,3.3740858677262207,3.9065565790904064,0.00185565348642471,0.0013842703167971,0.013425294761798913,0.010014928524622399,0.8044752612484406,0.6948238314126068,1.1673771264495998,1.004749723456017,17.164702107450054,20.432364131445947,0.11849930482372409,0.002110376772218766,0.03651483716701106,0.5119598192190205,0.5927531421563345,125.70000000000002,101.122540338929,87.33935560856469,4258.17375,4930.163999999999,7.872495657095943,0.19586551870830432,1.1033333333333333,445.9149123569633,516.2855667797621
